Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,50,1000,133,0.25,7,0
2,4,50,1000,126,0.25,7,0
3,4,50,1000,140,0.25,7,0
4,4,50,1000,7,0,7,0
5,4,50,1000,140,0.125,7,0
6,4,50,1000,133,0.125,7,0
7,4,50,1000,126,0.375,7,0
8,4,50,1000,133,0.5,7,0
9,4,50,1000,105,0.25,7,0
10,4,50,1000,133,0.25,7,0
11,4,50,1000,140,0.25,7,0
12,4,50,1000,7,0,7,0
13,4,50,1000,147,0.25,7,0
14,4,50,1000,133,0.125,7,0
15,4,50,1000,119,0.25,7,0
16,4,50,1000,126,0.125,7,0
17,4,50,1000,147,0.125,7,0
18,4,50,1000,133,0.375,7,0
19,4,50,1000,7,0,7,0
20,4,50,1000,84,0.125,7,0
21,4,50,1000,140,0.5,7,0
22,4,50,1000,126,0.375,7,0
23,4,50,1000,140,0.375,7,0
24,4,50,1000,119,0.16666666666666666,7,0
25,4,50,1000,140,0.375,7,0
26,4,50,1000,7,0,7,0
27,4,50,1000,133,0.375,7,0
28,4,50,1000,126,0.25,7,0
29,4,50,1000,7,0,7,0
30,4,50,1000,140,0.25,7,0
31,4,50,1000,133,0.125,7,0
32,4,50,1000,112,0.25,7,0
33,4,50,1000,112,0.4166666666666667,7,0
34,4,50,1000,126,0.125,7,0
35,4,50,1000,98,0.25,7,0
36,4,50,1000,147,0.375,7,0
37,4,50,1000,126,0.25,7,0
38,4,50,1000,7,0,7,0
39,4,50,1000,133,0.125,7,0
40,4,50,1000,84,0.0625,7,0
41,4,50,1000,140,0.5,7,0
42,4,50,1000,119,0.16666666666666666,7,0
43,4,50,1000,140,0.125,7,0
44,4,50,1000,133,0.75,126,0.5
45,4,50,1000,147,0.375,7,0
46,4,50,1000,126,0.125,7,0
47,4,50,1000,140,0.125,7,0
48,4,50,1000,126,0.5,7,0
49,4,50,1000,7,0,7,0
50,4,50,1000,105,0.25,7,0
51,4,50,1000,126,0.125,7,0
52,4,50,1000,98,0.3333333333333333,7,0
53,4,50,1000,126,0.75,7,0
54,4,50,1000,126,0.25,7,0
55,4,50,1000,140,0.25,7,0
56,4,50,1000,7,0,7,0
57,4,50,1000,147,0.25,7,0
58,4,50,1000,7,0,7,0
59,4,50,1000,119,0.5,7,0
60,4,50,1000,126,0.125,7,0
61,4,50,1000,126,0.125,7,0
62,4,50,1000,119,0.16666666666666666,7,0
63,4,50,1000,140,0.375,7,0
64,4,50,1000,112,0.16666666666666666,7,0
65,4,50,1000,147,0.375,7,0
66,4,50,1000,133,0.5,7,0
67,4,50,1000,140,0.375,7,0
68,4,50,1000,119,0.16666666666666666,7,0
69,4,50,1000,119,0.08333333333333333,7,0
70,4,50,1000,119,0.3333333333333333,7,0
71,4,50,1000,7,0,7,0
72,4,50,1000,98,0.08333333333333333,7,0
73,4,50,1000,140,0.25,7,0
74,4,50,1000,126,0.125,7,0
75,4,50,1000,126,0.25,7,0
76,4,50,1000,126,0.75,7,0
77,4,50,1000,126,0.375,7,0
78,4,50,1000,147,0.25,7,0
79,4,50,1000,140,0.5,7,0
80,4,50,1000,140,0.125,7,0
81,4,50,1000,140,0.125,7,0
82,4,50,1000,84,0.25,7,0
83,4,50,1000,91,0.0625,7,0
84,4,50,1000,126,0.125,7,0
85,4,50,1000,98,0.5833333333333334,7,0
86,4,50,1000,133,0.125,7,0
87,4,50,1000,91,0.1875,7,0
88,4,50,1000,126,0.25,7,0
89,4,50,1000,126,0.125,7,0
90,4,50,1000,140,0.875,140,0.5
91,4,50,1000,126,0.75,7,0
92,4,50,1000,147,0.625,7,0
93,4,50,1000,105,0.6666666666666666,7,0
94,4,50,1000,105,0.4166666666666667,7,0
95,4,50,1000,7,0,7,0
96,4,50,1000,126,0.375,7,0
97,4,50,1000,140,0.125,7,0
98,4,50,1000,126,0.5,7,0
99,4,50,1000,133,0.25,7,0
100,4,50,1000,140,0.625,7,0
